501,Balboa Park (San Jose Ave at Sgt. John V. Young Ln,,0
504,Onondaga Ave at Alemany Blvd,,0
505,Geneva Ave at Moscow St,,0
523,Lafayette Park (Laguna St at Washington St),,0
539,North Point St at Divisadero St,,0
544,Allyne Park (Green St at Gough St),,19
546,13th St at Webster St,,19
547,North Point St at Grant Ave,,19
536,Fillmore St at Jefferson St,,27
548,North Point St at Powell St,,28
64,5th St at Brannan St,3,0
133,Valencia St at 22nd St,3,0
79,7th St at Brannan St,3,3
479,Washington St at Van Ness Ave,3,3
102,Irwin St at 8th St,3,4
108,16th St Mission BART,3,11
460,Terry Francois Blvd at Warriors Way,3,12
538,Haight St at Lyon St,3,12
62,Victoria Manalo Draves Park,3,15
119,18th St at Noe St,3,15
125,20th St at Bryant St,3,15
140,Cesar Chavez St at Dolores St,3,15
142,Guerrero Park,3,15
144,Precita Park,3,15
145,29th St at Church St,3,15
146,30th St at San Jose Ave,3,15
323,Broadway at Kearny St,3,15
359,Williams Ave at Apollo St,3,15
390,Indiana St at Cesar Chavez St,3,15
433,Gennessee St at Monterey Blvd,3,15
437,Evans Ave at Mendell St,3,15
446,Mint St at Mission St,3,15
459,Utah St at 24th St,3,15
518,22nd St at Potrero Ave,3,15
386,24th St at Bartlett St,3,16
25,Howard St at 2nd St,3,18
465,San Francisco Caltrain Station (King St at 4th St),3,18
525,21st Ave at Geary Blvd,3,18
532,38th Ave at Balboa St,3,18
9,Broadway at Battery St,3,19
24,Spear St at Folsom St,3,19
26,1st St at Folsom St,3,19
28,The Embarcadero at Bryant St,3,19
30,San Francisco Caltrain (Townsend St at 4th St),3,19
42,San Francisco City Hall (Polk St at Grove St),3,19
63,Bryant St at 6th St,3,19
76,McCoppin St at Valencia St,3,19
77,11th St at Natoma St,3,19
84,Duboce Park,3,19
86,Market St at Dolores St,3,19
96,Dolores St at 15th St,3,19
97,14th St at Mission St,3,19
99,Folsom St at 15th St,3,19
100,Bryant St at 15th St,3,19
105,16th St at Prosper St,3,19
106,Sanchez St at 17th St,3,19
112,Harrison St at 17th St,3,19
113,Franklin Square,3,19
114,Rhode Island St at 17th St,3,19
118,Eureka Valley Recreation Center,3,19
122,19th St at Mission St,3,19
123,Folsom St at 19th St,3,19
124,19th St at Florida St,3,19
129,Harrison St at 20th St,3,19
132,24th St at Chattanooga St,3,19
137,Jersey St at Castro St,3,19
138,Jersey St at Church St,3,19
141,Valencia St at Cesar Chavez St,3,19
147,29th St at Tiffany Ave,3,19
223,16th St Mission BART Station 2,3,19
284,Yerba Buena Center for the Arts (Howard St at 3rd St),3,19
356,Valencia St at Clinton Park,3,19
358,Williams Ave at 3rd St,3,19
360,Jerrold Ave at 3rd St,3,19
361,Mendell St at Fairfax Ave,3,19
362,Lane St at Revere Ave,3,19
370,Jones St at Post St,3,19
371,Lombard St at Columbus Ave,3,19
376,Illinois St at 20th St,3,19
377,Fell St at Stanyan St,3,19
387,Randall St at Chenery St,3,19
398,Leavenworth St at Broadway,3,19
410,Cesar Chavez St at Michigan St,3,19
413,Balboa Park BART Station,3,19
424,Greenwich St at Webster St,3,19
432,Quesada Ave at 3rd St,3,19
435,Jennings St at Revere Ave,3,19
438,Oakdale Ave at Phelps St,3,19
453,Brannan St at 4th St,3,19
455,McAllister St at Arguello Blvd,3,19
456,Arguello Blvd at Geary Blvd,3,19
458,Frederick St at Arguello Blvd,3,19
